date,name,cumCase
2020-11-02,Yorkshire and The Humber,136066
2020-11-03,East Midlands,85691
2020-11-03,East of England,56299
2020-11-03,London,102800
2020-11-03,North East,64399
2020-11-03,North West,226023
2020-11-03,South East,80293
2020-11-03,South West,45685
2020-11-03,West Midlands,96012
2020-11-03,Yorkshire and The Humber,139060
2020-11-04,East Midlands,87566
2020-11-04,East of England,57430
2020-11-04,London,105107
2020-11-04,North East,65671
2020-11-04,North West,231043
2020-11-04,South East,82127
2020-11-04,South West,47114
2020-11-04,West Midlands,99268
2020-11-04,Yorkshire and The Humber,142677
2020-11-05,East Midlands,89738
2020-11-05,East of England,58486
2020-11-05,London,107190
2020-11-05,North East,67241
2020-11-05,North West,235637
2020-11-05,South East,83897
2020-11-05,South West,48329
2020-11-05,West Midlands,101648
2020-11-05,Yorkshire and The Humber,146761
2020-11-06,East Midlands,91851
2020-11-06,East of England,59493
2020-11-06,London,109138
2020-11-06,North East,68694
2020-11-06,North West,239326
2020-11-06,South East,85810
2020-11-06,South West,49839
2020-11-06,West Midlands,104520
2020-11-06,Yorkshire and The Humber,150353
2020-11-07,East Midlands,94008
2020-11-07,East of England,60717
2020-11-07,London,111490
2020-11-07,North East,70085
2020-11-07,North West,243846
2020-11-07,South East,87889
2020-11-07,South West,51132
2020-11-07,West Midlands,107158
2020-11-07,Yorkshire and The Humber,154367
2020-11-08,East Midlands,96183
2020-11-08,East of England,61704
2020-11-08,London,113294
2020-11-08,North East,71591
2020-11-08,North West,246923
2020-11-08,South East,89388
2020-11-08,South West,52148
2020-11-08,West Midlands,109523
2020-11-08,Yorkshire and The Humber,158098
2020-11-09,East Midlands,98534
2020-11-09,East of England,62901
2020-11-09,London,115382
2020-11-09,North East,72931
2020-11-09,North West,249719
2020-11-09,South East,91453
2020-11-09,South West,53409
2020-11-09,West Midlands,112506
2020-11-09,Yorkshire and The Humber,160902
2020-11-10,East Midlands,101244
2020-11-10,East of England,63903
2020-11-10,London,116883
2020-11-10,North East,74234
2020-11-10,North West,253107
2020-11-10,South East,93146
2020-11-10,South West,54534
2020-11-10,West Midlands,115294
2020-11-10,Yorkshire and The Humber,163903
2020-11-11,East Midlands,102842
2020-11-11,East of England,65216
2020-11-11,London,118936
2020-11-11,North East,75905
2020-11-11,North West,256947
2020-11-11,South East,95357
2020-11-11,South West,55815
2020-11-11,West Midlands,117994
2020-11-11,Yorkshire and The Humber,167066
2020-11-12,East Midlands,106270
2020-11-12,East of England,67204
2020-11-12,London,122865
2020-11-12,North East,77991
2020-11-12,North West,262069
2020-11-12,South East,98663
2020-11-12,South West,57658
2020-11-12,West Midlands,122342
2020-11-12,Yorkshire and The Humber,171649
2020-11-13,East Midlands,108653
2020-11-13,East of England,68854
2020-11-13,London,125782
2020-11-13,North East,79874
2020-11-13,North West,266434
2020-11-13,South East,101307
2020-11-13,South West,59202
2020-11-13,West Midlands,125492
2020-11-13,Yorkshire and The Humber,175481
2020-11-14,East Midlands,110841
2020-11-14,East of England,70071
2020-11-14,London,128370
2020-11-14,North East,81493
2020-11-14,North West,270133
2020-11-14,South East,104417
2020-11-14,South West,62570
2020-11-14,West Midlands,128482
2020-11-14,Yorkshire and The Humber,178813
2020-11-15,East Midlands,113309
2020-11-15,East of England,71483
2020-11-15,London,131013
2020-11-15,North East,82976
2020-11-15,North West,273238
2020-11-15,South East,107069
2020-11-15,South West,64225
2020-11-15,West Midlands,131607
2020-11-15,Yorkshire and The Humber,182119
2020-11-16,East Midlands,116653
2020-11-16,East of England,70455
2020-11-16,London,131687
2020-11-16,North East,86341
2020-11-16,North West,277818
2020-11-16,South East,107164
2020-11-16,South West,66188
2020-11-16,West Midlands,135062
2020-11-16,Yorkshire and The Humber,185714
2020-11-17,East Midlands,118635
2020-11-17,East of England,71588
2020-11-17,London,133789
2020-11-17,North East,87617
2020-11-17,North West,280264
2020-11-17,South East,109190
2020-11-17,South West,67447
2020-11-17,West Midlands,137701
2020-11-17,Yorkshire and The Humber,188254
2020-11-18,East Midlands,120276
2020-11-18,East of England,72478
2020-11-18,London,135812
2020-11-18,North East,89173
2020-11-18,North West,283384
2020-11-18,South East,110974
2020-11-18,South West,68637
2020-11-18,West Midlands,139707
2020-11-18,Yorkshire and The Humber,191161
2020-11-19,East Midlands,122083
2020-11-19,East of England,73982
2020-11-19,London,138352
2020-11-19,North East,90463
2020-11-19,North West,286057
2020-11-19,South East,113501
2020-11-19,South West,70175
2020-11-19,West Midlands,142940
2020-11-19,Yorkshire and The Humber,194186
2020-11-20,East Midlands,123613
2020-11-20,East of England,75132
2020-11-20,London,140260
2020-11-20,North East,91902
2020-11-20,North West,288943
2020-11-20,South East,115208
2020-11-20,South West,71508
2020-11-20,West Midlands,145978
2020-11-20,Yorkshire and The Humber,196897
2020-11-21,East Midlands,125935
2020-11-21,East of England,76327
2020-11-21,London,142807
2020-11-21,North East,93008
2020-11-21,North West,291077
2020-11-21,South East,117481
2020-11-21,South West,72447
2020-11-21,West Midlands,148716
2020-11-21,Yorkshire and The Humber,199117
2020-11-22,East Midlands,127583
2020-11-22,East of England,77782
2020-11-22,London,145786
2020-11-22,North East,93845
2020-11-22,North West,293071
2020-11-22,South East,119931
2020-11-22,South West,73464
2020-11-22,West Midlands,151181
2020-11-22,Yorkshire and The Humber,200865
2020-11-23,East Midlands,129040
2020-11-23,East of England,78766
2020-11-23,London,147861
2020-11-23,North East,94577
2020-11-23,North West,294644
2020-11-23,South East,121930
2020-11-23,South West,74225
2020-11-23,West Midlands,153201
2020-11-23,Yorkshire and The Humber,202532
2020-11-24,East Midlands,129918
2020-11-24,East of England,79680
2020-11-24,London,149270
2020-11-24,North East,95175
2020-11-24,North West,296113
2020-11-24,South East,123144
2020-11-24,South West,74893
2020-11-24,West Midlands,154445
2020-11-24,Yorkshire and The Humber,203867
2020-11-25,East Midlands,131458
2020-11-25,East of England,80867
2020-11-25,London,151773
2020-11-25,North East,96051
2020-11-25,North West,298210
2020-11-25,South East,125508
2020-11-25,South West,75733
2020-11-25,West Midlands,156869
2020-11-25,Yorkshire and The Humber,205851
2020-11-26,East Midlands,132988
2020-11-26,East of England,81975
2020-11-26,London,153858
2020-11-26,North East,96951
2020-11-26,North West,300071
